1: politics, fightfor15, clemson, 1u, powertv, headlines, allin, power, moleg, twitterafterdark, pgh, solidarity, conservative, manual, teamom, safc, raisethewage, gotigers, rawcast, powerpremiere, philosophy, nys, pokemongo, esports, summersixteentour
26: raw, sdlive, wwe, summerslam, wweclash, wwebacklash, smackdownlive, smackdown, nxttakeover, wwenxt, cwc, wwe2k17, wwebattleground, wrestlemania, wwenomercy, wwedraft, wcpw, mitb, ufc203, clashofchampions, legitboss, impactonpop, nxt, wwemoms, womenswrestling

27: gh, noticias, cbb, ootd, yr, kca, tapas, wsnc, gastro, days, boldandbeautiful, 28min, capricornio, moda, motor, nickelodeon, dresses, geordieshore, centennial, ihsnet, dress, friz, mx, bbuk, homeschool

28: maddow, inners, hardball, lastword, amjoy, cowboysnation, sotu, nerdland, 2ne1, realtime, dallascowboys, 12news, mtp, cl, hbcu, cowboys, newday, sitroom, msnbc, supportstandingrock, botb, bigbang, liftedbycl, uppers, morningjoe

29: news, calculator, bbloggers, sports, lbloggers, fbloggers, detroit, thegirlgang, sterlingheights, northlasvegas, rialto, edison, honda, ourmoment, apply, drudge, cge, efile, fblchat, compelled, templemade, wemakeleaders, wigs, games, culturewins

30: keithlamontscott, charlotteprotest, keithscott, terencecrutcher, alfredolango, blacklivesmatter, charlotte, charlotteuprising, elcajon, prisonstrike, tyreking, charlotteprotests, charlotteriots, blm, intelgroup, tyreeking, gapol, cmpd, phillies, wccb, kaepernick, nodapl, terrencesterling, breaking, iawacs

31: finance, socialmedia, business, insurance, marketing, auto, loans, online, tech, car, rent, facebook, branding, web, instagram, blog, digitalmarketing, mobile, twitter, digital, seo, pr, bigdata, google, small

32: cannabis, anonymous, madrid, marijuana, mtvhottest, mmj, legalizeit, ocio, pp, hiphoped, pdschargers, veranomtv2016, valencia, offline, 25s, navarra, eindhoven, mmot, investidurarajoy, anonfamily, freeanons, teenchoice, psoe, valladolid, mme

33: shoutout, peace, music, hiphop, truth, love, worldstar, life, rap, promo4life, lit, urban, mindset, israelites, salute, custommade, facts, dope, thebible, thinkbigsundaywithmarsha, culture, artist, real, charlottehornets, respect

34: pll, ufosighting, prettylittleliars, onedirection, reims, photos, rediff, amour, ariasonedirection, info, lrt, lt, 방탄소년단, ss10, gamersunite, newhaven, greysanatomy, thevoicekids, tpmp, bts, dals, waterbury, cancer, thistown, onpc

35: ask, preppers, preppertalk, android, survival, prepper, horse, incom, shtf, androidgames, gameinsight, preparedness, bg97th, bb15, cheapflights, greatnorthrun, livestream, survivalist, prepping, sme, flats, homesteading, equestrianhour, live, ridelondon

36: abc11, abc11eyewitness, nccu, mercuryretrograde, durham, acuario, ecu, sogonechallenge, virgos, moralrevival, formationworldtour, amas, blacklivesmatter, worldnewstonight, mapit, ushmm, aseatatthetable, blackoutday, ncstatewww, rewritetherules, popeinphilly, mugshot, raleigh, not1more, breaking

37: lgbt, sanfrancisco, morningjoe, losangeles, lgbtq, txlege, sf, gay, trans, catholic, agustinmaramatrendy, hiv, transgender, lovewins, oakland, lasvegas, scotus, equality, marriageequality, la, orlando, houston, loveislove, aids, tomhardy

38: 7news, turc, constantcontact, charlottesville, cville, greenscreen, escorts, capol, cltknights, rockhill, evansville, bouncetv, p2p, momvote, hackforchange, nofracking, uas, sastorms, knightsbaseball, melbourne, wintoday, greenpartyforum, ocr, plebiscite, aflgf

39: ff, wral, lfc, zazzle, followfriday, london, royalbaby, ynwa, manchester, elon, facup, liverpool, ww1, edinburgh, eng, lifted, birmingham, england, onthisday, pompey, lcm, tt, fridayfeeling, telford, royalvisitusa

40: emmys, roc, atlantafx, vmas, terencecrutcher, queensugar, lukecage, keithlamontscott, apeoplesjourney, boycottnfl, veteransforkaepernick, debatenight, cre, rosewood, multifamily, lalate, neverforget, gimmesugar, mrrobot, rbb, nmaahc, dwts, terencecruthcher, thursdaythoughts, appleevent

41: sports, world, kashmir, 好きなアニメあったらrt, リゼロ, entertainment, géminis, アニソン, アニメ, twitter上にいるリゼロ好き全員と繋がるのが密かな夢だったりするのでとりあえずこれを見たリゼロ好きはrtもしくはﾌｫﾛｰしてくれたら全力でﾌｫﾛｰしに行きます, timytherooftopkiss, アニメ好きと繋がりたい, ごちうさ, pakistan, 24時間以内に100rt来なければ俺の嫁, アスナ生誕祭2016, ラブライバーはrt, 祝う人rt, sao好きな人rt, f2b, エミリア生誕祭2016, 結城明日奈生誕祭2016, sao, いいねした人全員フォローする, 9月30日は結城明日奈の誕生日

42: donaldtrump, america, pharma, attorney, law, trump, hillaryclinton, republican, gop, black, income, obama, cheap, lawyer, racist, republicans, barackobama, offensive, attorneys, american, election2016, unitedstates, white, tedcruz, degree

43: nevertrump, trump, imwithher, basketofdeplorables, dumptrump, strongertogether, donthecon, uniteblue, gop, voteblue, vpdebate, clintonkaine, donaldtrump, debatenight, hillary, nbcnewsforum, trumpincuba, perunews, birtherism, lasttimetrumppaidtaxes, nevertrumporhillary, trumpwon, amjoy, tntweeters, trumptaxes

44: np, soundcloud, djkingassassin, onthisday, new, aquarius, tbi, salute, mostpopular, ghost, easybranches, beyondtheballot, jackdoyo, 相互フォロー, folloforfolloback, radio, sfm, staytuned, cltcomedy, 2sides1story, taureau, kerricktrial, newmusic, itunes, dj

45: mgwv, tg3, roma, renzi, italia, turchia, terremoto, siria, bologna, welcometweet, migranti, trance, canale50, ultimora, gfvip, milano, m5s, pd, napoli, raggi, referendum, padova, stopsfratti, traffico, maiconsalvini

46: orioles, cubs, yankees, porno, mlb, whitesox, dodgers, celebs, angels, astros, marlins, giants, mets, rays, tigers, birdland, redsox, phillies, nlds, undiacomohoy, braves, nats, indians, reds, pirates

47: cdnpoli, rawcl, polqc, bcpoli, polcan, uspoli, assnat, onpoli, abpoli, wwexfox, plq, polmtl, qcpoli, pq, summerslamcl, ottnews, sdcl, cc, nomasafp, wrestlemaniacl, yyj, abc15wx, yxe, énergieest, cop21

48: riseup, getitlive, spinrilla, thearchers, hr, edfringe, tnf, bristol, runkeeper, hexham, sagitario, mymixtapez, newcastle, falcons, vlog, leeds, cycling, charity, saints, ukbusinesslunch, nursing, sepsis, dementia, nurses, goingforgold

49: trump, hillary, clinton, apartments, obama, bedroom, bathroom, loan, mortgage, tax, media, usa, apartment, bitcoin, usnews, stocks, insurance, hrc, election, laws, bad, rentals, vote, report, gop

50: jobs, hiring, gbbo, maracaibo, smallbusiness, internship, alertcenter, blacknews, careers, siteloperdiste, shutdowna14, career, cbs4morning, conclusiones, fiftyshadesdarker, thefall, chesapeakeshores, zulia, 100happydays, neighbours, litigation, bariloche, wwehuntsville, internships, savehanna

51: ferguson, paris, france, nuitdebout, sarkozy, wearechange, cannes, loitravail, syrie, hollande, toulouse, fn, nice, migrants, photodujour, gabon, mikebrown, turquie, russie, corse, international, louisiane, charliehebdo, burkini, usa

52: estate, toronto, canada, vancouver, auto, ann, nhl, cloud, topoli, yeg, cbc, elxn42, ottawa, montreal, syracuse, ontario, data, homeless, wch2016, oakville, metal, bluejays, calgary, microsoft, isles

53: uniteblue, nc, northcarolina, genealogy, greensboro, avlnews, asheville, libcrib, liveonwlos, avlent, avl, avlmusic, winstonsalem, tfm, alerts, morgantown, wnc, ilm, fyi, fr, gohoos, avlbiz, wilmington, avlart, avlgov

54: feelthebern, berniesanders, neverhillary, jillnothill, demexit, bernieorbust, ourrevolution, nodapl, jillstein, tpp, bernie2016, bernie, stillsanders, notmeus, dropouthillary, blacklivesmatter, bringbernieback, tytlive, stoptpp, dncleak, steinbaraka, caprimary, demdebate, greenparty, dnc

55: keeppounding, wccb, ncwx, cltwx, followback, tfb, f4f, panthers, teamfollowback, scwx, panthernation, vawx, sb50, cltnews, ncnews, severe, cltcrime, follow4follow, twcnews, buzzcity, carolinapanthers, tfbjp, gawx, panthersnation, retweet

56: rio2016, usa, olympics, gold, teamusa, euro2016, freennamdikanu, usopen, bra, redsox, ligamx, freebiafra, patriots, rioolympics2016, championsleague, fra, openingceremony, paralympics, alaire, rio, ger, roadtorio, copaamerica, ucl, por

57: credit, inspire, love, quote, entrepreneur, quotes, empower, leadership, cars, business, real, car, income, funny, inspiration, life, women, success, money, best, sale, free, motivation, arts, family

58: nowplaying, vikings, okpreps, bb4sp, govikings, skol, thunderup, moments, onceuponatime, hokies, caba, gopackgo, supernatural, perfectillusion, jamiedornan, sooners, spotify, marie, okstate, ouat, gossip, rawpostwm, tweegram, bjj, joanne

59: blacklivesmatter, rtした人全員フォローする, altonsterling, philandocastile, シャーロット, blm, freddiegray, ferguson, sandrabland, korryngaines, terencecrutcher, kendrickjohnson, tamirrice, 相互希望, sayhername, mikebrown, keithlamontscott, baltimore, batonrouge, alllivesmatter, rtした人フォローする, charleskinsey, flintwatercrisis, pauloneal, ericgarner

60: empire, fashion, scandal, betawards, htgawm, lhhatl, rhoa, hahn, greenleaf, vmas, style, bbwla, greysanatomy, gmc, empirefox, dailyquote, balance, tgit, thewiz, ahs6, nyfw, fixmylife, grammys, naturalhair, jewelry

61: jobsearch, social_media, philly, petition, job, vegan, kohlanta, horses, jobs4u, philanthropy, petcare, animals, wildlife, blackfish, tweet4taiji, pets, datacenter, taiji, caturday, agile, vtep, animalrights, nonprofit, di, southkorea

62: chsnews, hurricanematthew, 9newsmornings, matthew, watchwbtv, traffic, icymi, breaking, highpoint, charleston, hermine, lancaster, thebachelorette, sctweets, moveover, southcarolina, wx, guilfordcounty, thebachelor, chs, jodiarias, news6, virginiabeach, sc, scnews

63: gameofthrones, prince, lemonade, httr, demthrones, eyecandy, beyonce, grammys, ريتويت, odusports, betawards, undergroundwgn, thronesyall, redskins, blackgirlmagic, kanyewest, drake, odufb, blackgirlsrock, got, kuwtk, chicagofire, kimkardashian, bbmas, rihanna

64: ncpol, ncga, hb2, ncgov, craftbeer, charobs, raleigh, coalash, nc, unc, wearenotthis, ncsen, repealhb2, ncgop, cltcc, nced, ncbeer, mccrory, moralmonday, gillings, whereistand, cmsbd, topbrewstues, wxii, leadright2016

65: pjnet, tcot, ccot, 2a, rednationrising, wakeupamerica, obama, nra, gop, teaparty, cruzcrew, benghazi, tgdn, hillary, bluelivesmatter, lnyhbt, orpuw, neverhillary, veterans, trump, isis, prolife, guns, military, cosproject

66: health, airfare, flights, travel, skincare, disability, cripthevote, oregon, whiteplains, longbeach, pdx, autism, occupy, dayton, portland, nodui, anarchy, javascript, providence, disabilities, nails, san, anchorage, deaf, western

67: technology, china, india, japan, aa, philippines, australia, card, uk, genealogy, adp2016, wmata, adp, singapore, zika, mp, malaysia, thailand, indonesia, g20, pakistan, spain, proudconservative, japanese, northkorea

68: uncc, panels, lol, comedy, ebola, charlotte49ers, jobopening, ninernation, rhony, rhoc, goniners, chicago, podernfamily, adoption, cusafb, mke, niners, roastthe90s, lmao, charlottesoccer, rhobh, americanidol, cusa, ninerpride, addaletterchangeaband

69: blacktwitter, etsy, justiceorelse, farrakhan, africa, handmade, pottiteam, blackmen, twittersisters, koin6news, noisundays, womaninbiz, ebay, original, dorset, kprs, ibackthebirds, southafrica, blackmedia, topnews, dolls, buhari, blackpower, sa, fuckthepolice

70: amwriting, gamecocks, sportsnews, ncstate, cuenca, wncn, packapalooza, gopack, clemson, felizlunes, ncsu, felizjueves, cocina, felizmartes, wolfpack, picsart, ecuador, writingtips, lomásleído, thinblueline, cochabamba, felizmiercoles, writing, hsotinvite, statement

71: wwe, sandiego, bailando2016, wrestlemania, ufc, ufc200, ufc202, scottsdale, real, eugene, showmatch2016, deanambrose, ranchocucamonga, tempe, tiempo, wwemexico, chargers, lam, glendale, resumen, sanmateo, chulavista, azwx, wweroadblock, en

72: quote, nodapl, beauty, marijuana, makeup, compdiningnc, indigenous, standingrock, climatechange, c4news, waterislife, cosmetics, tairp, actonclimate, dakotaaccesspipeline, standwithstandingrock, dapl, climate, gottobenc, rezpectourwater, fracking, nativeamerican, keepitintheground, pbloggers, ealing

73: business, thefive, hannity, kellyfile, outnumbered, oreillyfactor, specialreport, stl, oneeighty, greta, mowx, tickets, cnbcgopdebate, stlcards, standupwithevan, fns, gutfeld, westjordan, utah, foxandfriends, hawaii, cashinin, happeningnow, endpc, utpol

74: berlin, afd, merkel, lka, ceta, biafrans, vds, ttip, is, syrien, türkei, eurovision, brexit, dresden, spd, flüchtlinge, euro2016, eu, idomeni, münchen, bautzen, erdogan, deutschland, pegida, cdu

75: hosting, indeed, sun_shine, design, atv, عدن, jazz, yelp, vintage, klout, architecture, buffalo, vino, haiku, hrw, buffalobills, wny, 80s, musician, house, free, sustainability, livemusic, flx, salinas

